Order,Family,Subfamily,Tribe,Name,Genus,Species,Sociality,Source:Sociality,Haplodiploidy,Source: Haplodiploidy
Hymenoptera,Apidae,Anthophorinae,Anthophorini,Anthophora_abrupta,Anthophora,abrupta,solitary,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Anthophorinae,Anthophorini,Anthophora_pacifica,Anthophora,pacifica,solitary,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Anthophorinae,Anthophorini,Anthophora_plumipes,Anthophora,plumipes,solitary,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Anthophorinae,Anthophorini,Anthophora_edwardsii,Anthophora,edwardsii,solitary,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Anthophorinae,Anthophorini,Amegilla _dawsoni ,Amegilla ,dawsoni ,solitary,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Anthophorinae,Anthophorini,Habropoda _miserabilis ,Habropoda ,miserabilis ,solitary,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Anthophorinae,Anthophorini,Habropoda _laboriosa,Habropoda ,laboriosa,solitary,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Nomadinae,Brachynomadini ,Brachynomada_roigi,Brachynomada,roigi,kleptoparasite,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Nomadinae,Brachynomadini ,Kelita_toroi,Kelita,toroi,kleptoparasite,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Nomadinae,Ericrocidini,Ericrocis _lata ,Ericrocis ,lata ,kleptoparasite,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Nomadinae,Epeolini,Epeolus_pusillus,Epeolus,pusillus,kleptoparasite,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Nomadinae,Epeolini,Epeolus_compactus ,Epeolus,compactus ,kleptoparasite,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
Hymenoptera,Apidae,Nomadinae,Protepeolini ,Leiopodus _singularis,Leiopodus ,singularis,kleptoparasite,"Data and definitions from 'da Silva, J. (2021) Life history and the transitions to eusociality in the Hymenoptera. Front. Ecol. Evol., 9, 727124'.  https://www.frontiersin.org/articles/10.3389/fevo.2021.727124/full ",arrhenotoky,
