label,Eusocial,HD.all
Agrilus_sulcicollis,solitary,DD
Chrysobothris_affinis,solitary,DD
Polycesta_aruensis,solitary,DD
Rismethus_ryukyuensis,solitary,DD
Displatynychus_adjutor,solitary,DD
Ludioschema_akashii,solitary,DD
Ampedus_pauxillus,solitary,DD
Ampedus_nigerrimus,solitary,DD
Ampedus_semicinctus,solitary,DD
Brachygonus_megerlei,solitary,DD
Prosternon_aurichalceum,solitary,DD
Denticollis_nigricollis,solitary,DD
Ectinus_higonius,solitary,DD
Photuris_tremulans,solitary,DD
Pyrocoelia_atripennis,solitary,DD
Photinus_marginellus,solitary,DD
Drilaster_okinawensis,solitary,DD
Trixagus_dermestoides,solitary,DD
Chauliognathus_opacus,solitary,DD
Malthinus_frontalis,solitary,DD
Rhagonycha_nigripes,solitary,DD
Hatchiana_jirisanensis,solitary,DD
Esolus_pygmaeus,solitary,DD
Macronychus_glabratus,solitary,DD
Riolus_cupreus,solitary,DD
Limnichus_sericeus,solitary,DD
Anaspis_varians,solitary,DD
Anaspis_mulsanti,solitary,DD
Zilora_obscura,solitary,DD
Pseudandrosus_caerulus,solitary,DD
Isopus_latus,solitary,DD
Crypticus_quisquilius,solitary,DD
Blaps_nitens,solitary,DD
Chaerodes_trachyscelides,solitary,DD
Orthocis_lucasi,solitary,DD
Dolichocis_manitoba,solitary,DD
Oedemera_barbara,solitary,DD
Mordellochroa_scapularis,solitary,DD
Enoclerus_nigripes,solitary,DD
Calitys_scabra,solitary,DD
Phyllobaenus_guatemalae,solitary,DD
Olibrus_bicolor,solitary,DD
Glischrochilus_quadripunctatus,solitary,DD
Soronia_punctatissima,solitary,DD
Thalycrodes_cylindricum,solitary,DD
Epuraea_oblonga,solitary,DD
Boragogethes_rosenhaueri,solitary,DD
Meligethes_exilis,solitary,DD
Diplocoelus_fagi,solitary,DD
Rhizophagus_aeneus,solitary,DD
Aiolocaria_hexaspilota,solitary,DD
Corticarina_similata,solitary,DD
Menesia_flavotecta,solitary,DD
Saperda_octomaculata,solitary,DD
Moechotypa_formosana,solitary,DD
Pothyne_virginalis,solitary,DD
Cryptocephalus_parvulus,solitary,DD
Lilioceris_merdigera,solitary,DD
Donacia_vulgaris,solitary,DD
Macroplea_appendiculata,solitary,DD
Stictoleptura_trisignata,solitary,DD
Cryptocephalus_bipunctatus,solitary,DD
Cortodera_humeralis,solitary,DD
Hispa_atra,solitary,DD
Microrhopala_vittata,solitary,DD
Chrysomela_saliceti,solitary,DD
Longitarsus_tabidus,solitary,DD
Trirhabda_borealis,solitary,DD
Galerucella_tenella,solitary,DD
Mantura_obtusata,solitary,DD
Stator_furcatus,solitary,DD
Platyrhinus_resinosus,solitary,DD
Bruchela_conformis,solitary,DD
Protapion_nigritarse,solitary,DD
Aspidapion_radiolus,solitary,DD
Apion_frumentarium,solitary,DD
Oxystoma_subulatum,solitary,DD
Lachnopus_seini,solitary,DD
Otiorhynchus_perdix,solitary,DD
Otiorhynchus_sulphurifer,solitary,DD
Diaprepes_abbreviatus,solitary,DD
Dryophthorus_corticalis,solitary,DD
Dichromacalles_dromedarius,solitary,DD
Dendroacalles_euphorbiacus,solitary,DD
Acalles_argillosus,solitary,DD
Silvacalles_nubilosus,solitary,DD
Echinodera_diottii,solitary,DD
Echinodera_vitoensis,solitary,DD
Kyklioacalles_solarii,solitary,DD
Kyklioacalles_bupleuri,solitary,DD
Trigonopterus_variabilis,solitary,DD
Trigonopterus_ascendens,solitary,DD
