"label","genus","species","order","family","sociality","haplodiploidy","HD.arrhenotoky","HD.all","Eusocial","Eusocial.strict","Eus.strict.koos.gawne"
"Bactrocera_biguttula","Bactrocera","biguttula","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Eupeodes_americanus","Eupeodes","americanus","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Sympycnus_CNVUA66414_KR620243","Sympycnus","CNVUA66414_KR620243","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Empidinae_CNEID29712_KR426695","Empidinae","CNEID29712_KR426695","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Megaselia_SSKNA234915_MG106026","Megaselia","SSKNA234915_MG106026","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Rhipidocephala_sp","Rhipidocephala","sp","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Scleropogon_sp_USNM_ENT_00914499_KT733470","Scleropogon","sp_USNM_ENT_00914499_KT733470","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Neorhaphiomidas_sp","Neorhaphiomidas","sp","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Cyrtopogon_lutatius","Cyrtopogon","lutatius","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Bombyliidae_BBDIT45111_BD00731695","Bombyliidae","BBDIT45111_BD00731695","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Therevidae_CNPPB202612_KJ089864","Therevidae","CNPPB202612_KJ089864","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Sargus_cuprarius","Sargus","cuprarius","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Hermetia_albitarsis","Hermetia","albitarsis","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Xylomyidae_ASDIP33215_BD00715739","Xylomyidae","ASDIP33215_BD00715739","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Corononcodes_sp_CK_2014_HG973062","Corononcodes","sp_CK_2014_HG973062","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Paracyrtus_albofimbriatus","Paracyrtus","albofimbriatus","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Acrocera_subfasciata","Acrocera","subfasciata","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Nemestrinus_aegyptiacus","Nemestrinus","aegyptiacus","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Actina_chalybea","Actina","chalybea","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Chrysops_striatus","Chrysops","striatus","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Leptosciarella_CNBRE10414_KR242724","Leptosciarella","CNBRE10414_KR242724","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Sciaridae_GMHGC21713_BD00588288","Sciaridae","GMHGC21713_BD00588288","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Sciaridae_BBDIV77112_BD00376113","Sciaridae","BBDIV77112_BD00376113","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Sciaridae_sp_BOLD_ACL3733_KP041031","Sciaridae","sp_BOLD_ACL3733_KP041031","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Sciaridae_CNBPK22413_BD00931486","Sciaridae","CNBPK22413_BD00931486","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Macrocera_pusilla","Macrocera","pusilla","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Keroplatidae_GMATB62215_BD00238741","Keroplatidae","GMATB62215_BD00238741","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Macrodiplosis_sp_WK_2013a_AB859262","Macrodiplosis","sp_WK_2013a_AB859262","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Asphondylia_apicata","Asphondylia","apicata","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Procontarinia_matteiana","Procontarinia","matteiana","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Rhopalomyia_sp_BOLD_2016_KR954060","Rhopalomyia","sp_BOLD_2016_KR954060","Diptera","","solitary","paternal genome elimination","DD","HD","solitary","solitary","solitary"
"Cramptonomyia_spenceri","Cramptonomyia","spenceri","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Prionocera_dimidiata","Prionocera","dimidiata","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ormosia_loxia","Ormosia","loxia","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Erioptera_divisa","Erioptera","divisa","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Atarba_picticornis","Atarba","picticornis","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Phlebotomus_kandelakii","Phlebotomus","kandelakii","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tanyderus_sp_prob_pictus_DES_2014_KM081614","Tanyderus","sp_prob_pictus_DES_2014_KM081614","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Trichocera_regelationis","Trichocera","regelationis","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Bittacomorphella_fenderiana","Bittacomorphella","fenderiana","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Dasyhelea_CNTID326415_MF708486","Dasyhelea","CNTID326415_MF708486","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_GMBZM51716_BD00766238","Ceratopogonidae","GMBZM51716_BD00766238","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Brachypogon_CNVUB93714_KR621262","Brachypogon","CNVUB93714_KR621262","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_BBDIV30812_BD00116837","Ceratopogonidae","BBDIV30812_BD00116837","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Culicoides_nivosus","Culicoides","nivosus","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_sp_BOLD_ACV5978_KT606654","Ceratopogonidae","sp_BOLD_ACV5978_KT606654","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_GMATV129216_BD001136519","Ceratopogonidae","GMATV129216_BD001136519","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_DPAS62111_BD00820755","Ceratopogonidae","DPAS62111_BD00820755","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_GMMCT29315_BD001155488","Ceratopogonidae","GMMCT29315_BD001155488","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Forcipomyia_CNTGF293615_KR624348","Forcipomyia","CNTGF293615_KR624348","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Forcipomyia_ACF3562_BD00903507","Forcipomyia","ACF3562_BD00903507","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_GMBZM39816_BD001059606","Ceratopogonidae","GMBZM39816_BD001059606","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_GMHJK10615_BD0088351","Ceratopogonidae","GMHJK10615_BD0088351","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_DPAST116111_BD00229316","Ceratopogonidae","DPAST116111_BD00229316","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Atrichopogon_ACE0463_BD00859585","Atrichopogon","ACE0463_BD00859585","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Forcipomyia_GMCVB25116_MG172685","Forcipomyia","GMCVB25116_MG172685","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_CNFNR120714_MG474732","Ceratopogonidae","CNFNR120714_MG474732","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ceratopogonidae_GMHLH13715_BD00629541","Ceratopogonidae","GMHLH13715_BD00629541","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Allohelea_8CU_KT278182","Allohelea","8CU_KT278182","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Forcipomyia_CW2011_HQ824521","Forcipomyia","CW2011_HQ824521","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Polypedilum_GMDAP117313_KR635067","Polypedilum","GMDAP117313_KR635067","Diptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
